exp_nr,exp_id,exp_variant,metatest,K,avg,std
1,1,a,cb,2,0.298,0.22345610660473653
1,1,a,cb,4,0.36363636363636365,0.2079069872671478
1,1,a,cb,8,0.5142857142857142,0.07180352713571923
1,1,a,rte,2,0.49725274725274726,0.028044933271101136
1,1,a,rte,4,0.4972118959107807,0.028461958301154677
1,1,a,rte,8,0.5057471264367817,0.028886476433910055
1,1,a,sick,2,0.32975460122699385,0.1681438441184059
1,1,a,sick,4,0.35144927536231885,0.17562459809958658
1,1,a,sick,8,0.3181528662420382,0.18593438555138259
1b,1,b,cb,2,0.346,0.08970125857240624
1b,1,b,cb,4,0.42045454545454547,0.08358668172820027
1b,1,b,cb,8,0.6271428571428571,0.0886587006373941
1b,1,b,rte,2,0.5192307692307693,0.04666595240121169
1b,1,b,rte,4,0.5319702602230483,0.04431356763800475
1b,1,b,rte,8,0.5559386973180077,0.0579851995537649
1b,1,b,sick,2,0.6430470347648262,0.09980828139022642
1b,1,b,sick,4,0.7140786749482402,0.05592644462238205
1b,1,b,sick,8,0.7315286624203822,0.04798921973217351
1c,1,c,cb,2,0.479,0.10492603911427575
1c,1,c,cb,4,0.5409090909090909,0.08586484012621207
1c,1,c,rte,2,0.5155677655677655,0.06495073563069331
1c,1,c,rte,4,0.5355018587360595,0.0784199283837685
1c,1,c,rte,8,0.5595785440613027,0.07292391892196379
1c,1,c,sick,2,0.5850715746421268,0.13399369497490232
1c,1,c,sick,4,0.6940993788819876,0.06618061294181278
1c,1,c,sick,8,0.7127388535031847,0.06286984617068185
3,3,a,boolq,2,0.49585119412124923,0.09515737261518273
3,3,a,boolq,4,0.48948497854077255,0.09480219731605356
3,3,a,cb,2,0.398,0.1551773179301666
3,3,a,rte,2,0.4968864468864469,0.031650667717237076
3,3,a,rte,4,0.4966542750929368,0.03187410747619527
3,3,a,sick,2,0.35224948875255624,0.12031712225723609
3,3,a,sst,2,0.5024769585253456,0.02489869840355903
3,3,a,sst,4,0.5016782407407407,0.017320350949867284
3b,3,b,boolq,2,0.4962186160440906,0.03523308965746039
3b,3,b,boolq,4,0.5183629675045984,0.0488680019615802
3b,3,b,boolq,8,0.5320835894283958,0.071548269104387
3b,3,b,cb,2,0.423,0.12109587328359207
