exp_nr,metatest,K,avg,std
1,cb,2,0.443,0.17183529445679266
1,rte,2,0.5003663003663004,0.02860650464658305
1,rte,4,0.5,0.028605344388991292
1,sick,2,0.3530674846625767,0.16342186467559996
1b,cb,2,0.346,0.08970125857240624
1b,cb,4,0.42045454545454547,0.08358668172820027
1b,cb,8,0.6271428571428571,0.0886587006373941
1b,rte,2,0.5192307692307693,0.04666595240121169
1b,rte,4,0.5319702602230483,0.04431356763800475
1b,rte,8,0.5559386973180077,0.0579851995537649
1b,sick,2,0.6430470347648262,0.09980828139022642
1b,sick,4,0.7140786749482402,0.05592644462238205
1b,sick,8,0.7315286624203822,0.04798921973217351
3,boolq,2,0.49585119412124923,0.09515737261518273
3,boolq,4,0.48948497854077255,0.09480219731605356
3,cb,2,0.398,0.1551773179301666
3,rte,2,0.4968864468864469,0.031650667717237076
3,rte,4,0.4966542750929368,0.03187410747619527
3,sick,2,0.35224948875255624,0.12031712225723609
3,sst,2,0.5024769585253456,0.02489869840355903
3,sst,4,0.5016782407407407,0.017320350949867284
3b,boolq,2,0.4962186160440906,0.03523308965746039
3b,boolq,4,0.5183629675045984,0.0488680019615802
3b,boolq,8,0.5320835894283958,0.071548269104387
3b,cb,2,0.423,0.12109587328359207
3b,cb,4,0.44886363636363635,0.10213973277267908
3b,cb,8,0.6342857142857142,0.05978838443206824
3b,qqp,2,0.557681937367041,0.12300496590393495
3b,qqp,4,0.6142410073722231,0.07509992687437751
3b,rte,2,0.5104395604395604,0.06584055018077403
3b,rte,4,0.5202602230483271,0.05501323298835945
3b,rte,8,0.54272030651341,0.04230615257967612
3b,sick,2,0.5508179959100205,0.10647242336244117
3b,sick,4,0.6442028985507247,0.08593681550183192
3b,sick,8,0.6774946921443736,0.03814136951936413
3b,sst,2,0.660483870967742,0.08580566289239758
3b,sst,4,0.7078703703703704,0.08962439118856469
3b,sst,8,0.7057827102803739,0.08028941916904317
4,boolq,2,0.49672382118799757,0.06184936498935561
4,boolq,4,0.49118638871857756,0.05445258886631996
4,boolq,8,0.4923939766441303,0.06886101311887081
4,sst,2,0.5286866359447004,0.039036344122231316
4,sst,4,0.532349537037037,0.02964522339947305
4,sst,8,0.539427570093458,0.02858256987454091
4,wgrande,2,0.5006730007917657,0.007276063429553542
4,wgrande,4,0.5011914217633042,0.0066504277832345705
4,wgrande,8,0.4974420463629097,0.007922185045284767
4b,boolq,2,0.5231169626454378,0.06368968179641274
4b,boolq,4,0.5260116492949111,0.055604509582109725
4b,boolq,8,0.5278272894898587,0.05248890261983606
4b,sst,2,0.7782258064516129,0.04950954898462032
4b,sst,4,0.8092592592592592,0.026373174247797695
4b,sst,8,0.8232476635514019,0.01845607591710641
4b,wgrande,2,0.5017022961203483,0.012242488567178874
4b,wgrande,4,0.4994042891183479,0.009172323220022757
4b,wgrande,8,0.5017585931254996,0.010936012013435317
5,argument,2,0.3138998035363458,0.07840590268622091
5,argument,4,0.34073891625615765,0.10834622633704892
5,argument,8,0.37242319127849355,0.10900430418535377
5,rte,2,0.5016483516483516,0.029626979830210957
5,rte,4,0.503903345724907,0.029922034948697673
5,rte,8,0.4875478927203065,0.03309653438438314
5,scitail,2,0.5110384615384616,0.015121793513113931
5,scitail,4,0.5054783950617284,0.019819569881194484
5,scitail,8,0.506832298136646,0.019439500207387838
5,sick,2,0.3619631901840491,0.13743535678166016
5,sick,4,0.3370600414078675,0.11354644642526623
5,sick,8,0.33959660297239913,0.1395632562662281
5b,argument,2,0.3523575638506876,0.0633801454001612
5b,argument,4,0.38578817733990145,0.055048027077735005
5b,argument,8,0.4294846382556987,0.07558931828708221
5b,rte,2,0.5104395604395604,0.06584055018077403
5b,rte,4,0.5202602230483271,0.05501323298835945
5b,rte,8,0.54272030651341,0.04230615257967612
5b,scitail,2,0.7302307692307692,0.1122833149740019
5b,scitail,4,0.7864969135802469,0.04083417685024855
5b,scitail,8,0.8112965838509316,0.03540332793286655
5b,sick,2,0.5508179959100205,0.10647242336244117
5b,sick,4,0.6442028985507247,0.08593681550183192
5b,sick,8,0.6774946921443736,0.03814136951936413
6b,cb,2,0.361,0.1076984093123991
6b,rte,2,0.5412087912087912,0.08258449777339467
6b,rte,4,0.5767657992565056,0.08067653811131341
6b,sick,2,0.5846625766871165,0.15766732263754002
